,Agency Name,City_x,State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
0,Bi-State Development Agency of the Missouri-Illinois Metropolitan District (BSD),Saint Louis,MO,128882250.0,128124184.0,234889267.0,204563036.0,195772426.0,79464775.0,32211199.0,47241885.0,22745862.0,30783677.0,60865649.0,34896118.0,56897572.0,44371238.0,58694385.0,41546974.0,32368836.0,29883220.0,36010111.0,"Saint Louis, MO",Saint Louis,MO,38.6358,-90.2451
1,Broward County Board of County Commissioners (BCT),Fort Lauderdale,FL,9759037.0,13708841.0,9670467.0,4890500.0,15237683.0,14359183.0,35211357.0,12424486.0,25754836.0,38694761.0,27823833.0,40752448.0,21733258.0,59596498.0,22523502.0,7321142.0,52572681.0,7960553.0,100061426.0,"Fort Lauderdale, FL",Fort Lauderdale,FL,26.1412,-80.1464
2,Capital Metropolitan Transportation Authority (CMTA),Austin,TX,27831760.0,33034635.0,33219545.0,50886221.0,43177427.0,46801384.0,62662508.0,49684247.0,14454706.0,10610526.0,29657483.0,34031783.0,24934395.0,21166576.0,45058252.0,97121334.0,77011072.0,100205480.0,91719197.0,"Austin, TX",Austin,TX,30.3004,-97.7522
3,Central Florida Regional Transportation Authority (LYNX),Orlando,FL,14222151.0,13750726.0,22106838.0,30664521.0,30114012.0,21911574.0,25935896.0,14503057.0,15676362.0,23886852.0,12494967.0,31631777.0,34285046.0,20393199.0,41410813.0,24311531.0,8197614.0,17902503.0,25110987.0,"Orlando, FL",Orlando,FL,28.4772,-81.3369
4,Central Ohio Transit Authority (COTA),Columbus,OH,5869628.0,10084147.0,12165834.0,10749067.0,6701443.0,12546371.0,23280124.0,41540965.0,41735295.0,28916774.0,40078274.0,38668136.0,40170245.0,37693153.0,21896323.0,51808437.0,12071839.0,53519707.0,97307221.0,"Columbus, OH",Columbus,OH,39.9862,-82.985
5,Central Puget Sound Regional Transit Authority (ST),Seattle,WA,275015880.0,396036500.0,509395483.0,600405805.0,710492233.0,746379933.0,559026151.0,410917071.0,515439510.0,578110973.0,566317415.0,665521740.0,816653493.0,852522266.0,896893649.0,1450229887.0,1480482649.0,2007497580.0,2136074964.0,"Seattle, WA",Seattle,WA,47.6211,-122.3244
6,Chicago Transit Authority (CTA),Chicago,IL,482871907.0,474880950.0,490434574.0,363906511.0,606897409.0,641440895.0,966920913.0,614516225.0,200816988.0,193082128.0,295873800.0,607590948.0,481603992.0,490380076.0,394226137.0,389660322.0,359519745.0,425147627.0,538142950.0,"Chicago, IL",Chicago,IL,41.8373,-87.6862
7,City and County of San Francisco (SFMTA),San Francisco,CA,216063000.0,160272000.0,167915000.0,123987000.0,90530000.0,147434000.0,137394000.0,62604480.0,130641845.0,186218258.0,204535696.0,239036559.0,434600183.0,285661060.0,413426828.0,475312070.0,512341153.0,521124218.0,334989315.0,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
8,City of Charlotte North Carolina (CATS),Charlotte,NC,26995165.0,37882909.0,117847961.0,86284032.0,188155286.0,178961130.0,67593101.0,58966075.0,46580978.0,38865484.0,47049193.0,97836270.0,133464263.0,256834386.0,303225878.0,233115220.0,116113457.0,75978722.0,87244147.0,"Charlotte, NC",Charlotte,NC,35.208,-80.8304
9,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,0.0,6683945.0,21477349.0,370425.0,14638603.0,22902796.0,23101729.0,785749.0,1082709.0,10471958.0,4755771.0,1525692.0,2691997.0,35977089.0,73842178.0,60558320.0,80676099.0,17267440.0,42782781.0,"Hartford, CT",Hartford,CT,41.7661,-72.6834
10,County of Miami-Dade (MDT),Miami,FL,65566755.0,63480589.0,90269789.0,79359640.0,141065862.0,174514607.0,180792717.0,187447482.0,137872311.0,64498715.0,54913207.0,66169757.0,56471369.0,90214174.0,100453175.0,102831465.0,148265087.0,235194027.0,191032389.0,"Miami, FL",Miami,FL,25.7839,-80.2102
11,Dallas Area Rapid Transit (DART),Dallas,TX,204593716.0,160961319.0,151326908.0,138232951.0,177744972.0,406806007.0,589566126.0,830869462.0,676845879.0,416165147.0,315165473.0,266080105.0,222839131.0,158451637.0,151121568.0,99929383.0,116964984.0,209242105.0,231184265.0,"Dallas, TX",Dallas,TX,32.7936,-96.7662
12,Denver Regional Transportation District (RTD),Denver,CO,164651134.0,277944080.0,217201390.0,273843171.0,207873303.0,156784741.0,282758380.0,410353509.0,712553133.0,627095963.0,702118632.0,769359097.0,862701058.0,870055260.0,690158644.0,452136303.0,335080262.0,349764075.0,102727199.0,"Denver, CO",Denver,CO,39.7621,-104.8759
13,Fort Worth Transportation Authority (FWTA),Fort Worth,TX,64581316.0,11220025.0,10387998.0,4798888.0,16293418.0,22380323.0,24031488.0,19505764.0,23510070.0,21010982.0,17909917.0,18635481.0,15878540.0,67123254.0,68904276.0,223608936.0,281014124.0,242293131.0,47034715.0,"Fort Worth, TX",Fort Worth,TX,32.7811,-97.3473
14,"Golden Gate Bridge, Highway and Transportation District (GGBHTD)",San Francisco,CA,5301076.0,8499084.0,29503209.0,7962489.0,2011966.0,18325076.0,10574969.0,15523704.0,37176883.0,29045364.0,28690431.0,8487831.0,20286911.0,35223324.0,26305972.0,6368062.0,17597856.0,72461408.0,42904951.0,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
15,Greater Dayton Regional Transit Authority (GDRTA),Dayton,OH,12160517.0,12678383.0,11495983.0,5320991.0,4281233.0,6989907.0,11719435.0,23258016.0,25996338.0,4109545.0,8967151.0,4832131.0,8854523.0,7605073.0,28388447.0,23397639.0,24017728.0,40101967.0,49978011.0,"Dayton, OH",Dayton,OH,39.7797,-84.1998
16,Indianapolis and Marion County Public Transportation (IndyGo),Indianapolis,IN,0.0,8926608.0,3916859.0,7660876.0,7121349.0,4570402.0,8034135.0,14567826.0,14792906.0,11942799.0,5968742.0,4300400.0,12441067.0,26904048.0,15498490.0,8821675.0,33115978.0,121772829.0,41898162.0,"Indianapolis, IN",Indianapolis,IN,39.7771,-86.1458
17,King County Department of Metro Transit (KCM),Seattle,WA,111538057.0,112914852.0,238871097.0,69870233.0,56921595.0,68363581.0,101408907.0,106449735.0,85707257.0,270975707.0,182801317.0,108158262.0,119910858.0,165187455.0,272555995.0,187914680.0,359151314.0,230691361.0,120348254.0,"Seattle, WA",Seattle,WA,47.6211,-122.3244
18,Los Angeles County Metropolitan Transportation Authority (LACMTA),Los Angeles,CA,196378871.0,263712026.0,329958440.0,566856565.0,390705299.0,430441725.0,452504911.0,529316219.0,586295974.0,725195905.0,743434928.0,802892067.0,1382834809.0,1923615067.0,1651875956.0,1399970581.0,1682819032.0,1669746773.0,2102435535.0,"Los Angeles, CA",Los Angeles,CA,34.1139,-118.4068
19,MTA New York City Transit (NYCT),Brooklyn,NY,2566756794.0,2417000159.0,2319542359.0,2112399084.0,2162896435.0,2464086716.0,3291028354.0,3843273984.0,3274415442.0,2731118030.0,3218292150.0,2885346747.0,2703612843.0,2972675796.0,2733958550.0,2938292071.0,3619868747.0,3999859000.0,2919849168.0,"Brooklyn, NY",Brooklyn,NY,40.6501,-73.9496
