,Agency Name,City_x,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
0,Bi-State Development Agency of the Missouri-Illinois Metropolitan District (BSD),Saint Louis,4.263032628387358,3.7745950516263997,1.4033758220186996,0.5503727085715316,0.996651876976716,0.5486585354910849,0.6878583592180445,1.2835984939974563,0.7324419383887776,1.1871636469554316,0.9813823883734668,1.3895447704676207,1.0590377934519424,0.8743471029991184,0.8284732771858276,1.7213071741337993,"Saint Louis, MO",Saint Louis,MO,38.6358,-90.2451
1,Broward County Board of County Commissioners (BCT),Fort Lauderdale,0.12065752565943082,0.3658979608028157,0.3395894744544419,0.8387867737308967,0.3313049520659898,0.701212900482785,1.0357518755201376,0.7137525844314297,1.0570209207538712,0.559771793642023,1.6225188024497772,0.6973981525847635,0.2484549834161806,1.8594092006458403,0.2935037350733209,6.667516875120775,"Fort Lauderdale, FL",Fort Lauderdale,FL,26.1412,-80.1464
2,Capital Metropolitan Transportation Authority (CMTA),Austin,1.4874330488497713,1.2415992809222223,1.3154068542699908,1.6424369213220065,1.4521577429926227,0.4268875836386653,0.31207681826838307,0.809056456173285,0.9502641654611677,0.7344157237288099,0.6193937299430794,1.5033548869270448,3.279606892915012,2.5939185867830354,3.1768298633067746,4.946560659483916,"Austin, TX",Austin,TX,30.3004,-97.7522
3,Central Florida Regional Transportation Authority (LYNX),Orlando,1.2531560184202304,1.1941973310965308,0.8178911569958265,0.9642189536777112,0.5989628480536385,0.5964843470422255,0.8384892651507142,0.4231157963817155,1.0542159152198063,1.1388218104495504,0.7080871808512984,1.5376971437752764,0.934700714491597,0.3308523084936628,0.7261941607387356,1.6618017034286963,"Orlando, FL",Orlando,FL,28.4772,-81.3369
4,Central Ohio Transit Authority (COTA),Columbus,0.7155917135675117,0.4480667708409318,0.8338087417868513,1.39989114821912,2.462158819779673,2.416192269999342,1.520071945482835,2.1441046993009745,2.0623901218964917,2.0784307648511304,1.9629275200821308,1.162977382133827,2.772166766512628,0.6285699364194488,2.7544678516021293,9.274113001208118,"Columbus, OH",Columbus,OH,39.9862,-82.985
5,Central Puget Sound Regional Transit Authority (ST),Seattle,54.80596420777941,57.96916520715494,54.224163006400936,34.66153454006047,21.847637376399692,22.677398433918775,23.025723040182132,19.913295437935037,21.99284124182297,24.790166112678467,24.590845440895563,20.988706573089775,30.990690034672657,30.722614084540243,41.99295258045488,134.59789778820442,"Seattle, WA",Seattle,WA,47.6211,-122.3244
6,Chicago Transit Authority (CTA),Chicago,0.7386929752446084,1.2265429609510505,1.2840520544976364,1.8350506554881596,1.1789464724029817,0.38852284521315245,0.3629634521111811,0.5423126390945915,1.1480607449728266,0.9365776880445085,0.9504137618247861,0.7920891481553989,0.8127486412564711,0.7680930407962999,0.9328659404961265,2.7247772862222694,"Chicago, IL",Chicago,IL,41.8373,-87.6862
7,City and County of San Francisco (SFMTA),San Francisco,0.5665202682681619,0.41918256852463526,0.7082603562648456,0.635327320294155,0.27120223086946943,0.6203911916769106,0.8551650701469006,0.9291870475759548,1.0910287101966307,1.8807888946222295,1.271079649339233,1.812383630185927,2.118332031793302,2.2822060955220524,2.3767589536321303,3.7610661393012195,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
8,City of Charlotte North Carolina (CATS),Charlotte,4.707345439833084,9.865237562560443,8.64241949515859,2.571574332399102,2.4320818517454845,1.8333330578274947,1.4004062334578735,1.6444952974841656,3.35259906238786,4.661420343826922,9.678408078851282,11.865154092972297,9.975816963284842,4.942035577085181,3.0903632449978122,7.206359714894806,"Charlotte, NC",Charlotte,NC,35.208,-80.8304
9,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,0.029321103944213875,1.0937066566171534,1.695395748851491,1.6429710601995726,0.059475668800299863,0.07889035053780082,0.7340065725813941,0.32450417931834463,0.10452889913439313,0.18288195792066242,2.3387873699943755,4.668218436845368,3.848736396061723,5.03446692320725,1.0881336837134918,3.9995423915989265,"Hartford, CT",Hartford,CT,41.7661,-72.6834
