,Agency Name,City_x,State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
0,Bi-State Development Agency of the Missouri-Illinois Metropolitan District (BSD),Saint Louis,MO,32849363.0,33384302.0,33442205.0,35922850.0,38389980.0,42776384.0,45489586.0,47273388.0,44631133.0,46115422.0,48892352.0,52782776.0,53035637.0,52655827.0,48963181.0,44683078.0,42016496.0,40537859.0,30986092.0,"Saint Louis, MO",Saint Louis,MO,38.6358,-90.2451
1,Broward County Board of County Commissioners (BCT),Fort Lauderdale,FL,17311222.0,17484170.0,19958151.0,21124820.0,19868386.0,20772851.0,24985688.0,24702985.0,27838973.0,31881883.0,34326034.0,34954740.0,35557693.0,35006418.0,35686883.0,33327891.0,30778025.0,28975264.0,13814362.0,"Fort Lauderdale, FL",Fort Lauderdale,FL,26.1412,-80.1464
2,Capital Metropolitan Transportation Authority (CMTA),Austin,TX,3602781.0,3769595.0,4258356.0,4806505.0,5532082.0,11697775.0,13057234.0,14149011.0,15119571.0,17685222.0,20345805.0,21859101.0,23112153.0,23967827.0,23552516.0,23036605.0,22415188.0,22871982.0,15298332.0,"Austin, TX",Austin,TX,30.3004,-97.7522
3,Central Florida Regional Transportation Authority (LYNX),Orlando,FL,12888508.0,14276809.0,15122872.0,17456245.0,19198852.0,19482103.0,22075013.0,21800327.0,22745188.0,26465034.0,29027857.0,29954030.0,29532868.0,28533448.0,28138613.0,26760361.0,25824714.0,25415092.0,13596128.0,"Orlando, FL",Orlando,FL,28.4772,-81.3369
4,Central Ohio Transit Authority (COTA),Columbus,OH,13165114.0,12497957.0,11779221.0,11756470.0,13205864.0,13071440.0,13984507.0,13817908.0,16066595.0,17911227.0,20121363.0,20431357.0,21052095.0,20033741.0,19525395.0,19688255.0,19421298.0,19031797.0,4366499.0,"Columbus, OH",Columbus,OH,39.9862,-82.985
5,Central Puget Sound Regional Transit Authority (ST),Seattle,WA,9225387.0,11624553.0,13205535.0,16482718.0,18051544.0,22028754.0,11837905.0,29048220.0,37589007.0,46116593.0,54145484.0,56944350.0,60156279.0,65425640.0,80560314.0,90326185.0,96002529.0,97770045.0,30788666.0,"Seattle, WA",Seattle,WA,47.6211,-122.3244
6,Chicago Transit Authority (CTA),Chicago,IL,384809987.0,368935158.0,403915340.0,418618556.0,463296324.0,459670179.0,473821143.0,508113062.0,510992491.0,529762698.0,551162509.0,577008021.0,587162631.0,591366583.0,581187668.0,564829047.0,593620249.0,588741390.0,236301686.0,"Chicago, IL",Chicago,IL,41.8373,-87.6862
7,City and County of San Francisco (SFMTA),San Francisco,CA,98196206.0,98850432.0,115526877.0,121588377.0,135966007.0,142993651.0,151531553.0,152114027.0,187629140.0,191619379.0,202266632.0,220093193.0,212823751.0,214676015.0,206463416.0,196978190.0,203507039.0,196820505.0,153699058.0,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
8,City of Charlotte North Carolina (CATS),Charlotte,NC,8972871.0,8986622.0,9952655.0,10769955.0,12614966.0,13283728.0,16554610.0,21431190.0,20277652.0,23439299.0,24878955.0,27265176.0,27285529.0,28971099.0,30687363.0,29733078.0,26563174.0,27615366.0,21018416.0,"Charlotte, NC",Charlotte,NC,35.208,-80.8304
9,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,10555907.0,9872297.0,10085398.0,10683491.0,11847812.0,12039635.0,12375554.0,12649838.0,12412172.0,12602353.0,13622900.0,13196107.0,13716332.0,15183272.0,15909276.0,16351839.0,16528910.0,15285573.0,10856416.0,"Hartford, CT",Hartford,CT,41.7661,-72.6834
10,County of Miami-Dade (MDT),Miami,FL,67723655.0,66560209.0,71309543.0,88322871.0,92888206.0,88860741.0,89273031.0,98380232.0,100505402.0,105220473.0,109887287.0,114624764.0,120533896.0,119851111.0,111087829.0,92764184.0,85304814.0,89188997.0,47456089.0,"Miami, FL",Miami,FL,25.7839,-80.2102
11,Dallas Area Rapid Transit (DART),Dallas,TX,32022212.0,35077266.0,35782998.0,37131584.0,40796765.0,40410033.0,48957079.0,46912356.0,55149434.0,59247542.0,61614860.0,69512239.0,73014310.0,69626369.0,68637184.0,67855572.0,65248020.0,66150318.0,43547629.0,"Dallas, TX",Dallas,TX,32.7936,-96.7662
12,Denver Regional Transportation District (RTD),Denver,CO,49967114.0,51319917.0,56112545.0,58450486.0,67822659.0,79142681.0,89942987.0,98891852.0,99707651.0,108554786.0,114076378.0,118078639.0,120633179.0,121163241.0,136181103.0,140695575.0,143230972.0,154389604.0,76264572.0,"Denver, CO",Denver,CO,39.7621,-104.8759
13,Fort Worth Transportation Authority (FWTA),Fort Worth,TX,4569795.0,4820078.0,4930204.0,4990370.0,5885569.0,5937405.0,7095045.0,7550952.0,7664735.0,8721367.0,8805317.0,9417332.0,5565654.0,9211304.0,7749451.0,7793244.0,9773244.0,10370042.0,7128417.0,"Fort Worth, TX",Fort Worth,TX,32.7811,-97.3473
14,"Golden Gate Bridge, Highway and Transportation District (GGBHTD)",San Francisco,CA,20686979.0,20657895.0,21409904.0,22797853.0,23420295.0,25803165.0,22084435.0,25751465.0,26111145.0,27618952.0,29618244.0,32129337.0,34409365.0,20931100.0,36378818.0,35506436.0,36475395.0,36018269.0,27051067.0,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
15,Greater Dayton Regional Transit Authority (GDRTA),Dayton,OH,6366090.0,5997994.0,6354968.0,7785596.0,8494387.0,8784609.0,10169774.0,8888647.0,8813545.0,9487149.0,9680478.0,10082999.0,10024080.0,9000803.0,8520462.0,7702909.0,8608878.0,9339349.0,6392811.0,"Dayton, OH",Dayton,OH,39.7797,-84.1998
16,Indianapolis and Marion County Public Transportation (IndyGo),Indianapolis,IN,7016306.0,6675422.0,7748255.0,7705539.0,8336827.0,8911670.0,10286990.0,10220995.0,9862597.0,10401922.0,11291418.0,11354576.0,11381924.0,11232693.0,11051807.0,10057717.0,10287454.0,9224816.0,5991647.0,"Indianapolis, IN",Indianapolis,IN,39.7771,-86.1458
17,King County Department of Metro Transit (KCM),Seattle,WA,81002121.0,75485244.0,79426379.0,89455581.0,83677329.0,96930681.0,121823960.0,136270876.0,150083324.0,164218106.0,181315403.0,188918502.0,200177953.0,202551056.0,222670634.0,231398647.0,237704184.0,239071077.0,72180466.0,"Seattle, WA",Seattle,WA,47.6211,-122.3244
18,Los Angeles County Metropolitan Transportation Authority (LACMTA),Los Angeles,CA,241143714.0,247426048.0,221453691.0,269238971.0,280572091.0,293878777.0,343317857.0,343204891.0,327315725.0,358695085.0,359058439.0,356329493.0,356874510.0,368369593.0,355956638.0,334122144.0,315337914.0,280870183.0,199728314.0,"Los Angeles, CA",Los Angeles,CA,34.1139,-118.4068
19,MTA New York City Transit (NYCT),Brooklyn,NY,2125417830.0,2351105766.0,2548965991.0,2625814058.0,2728959320.0,2811715386.0,2988779509.0,3078891415.0,3251532420.0,3578282013.0,3622833825.0,3983362615.0,4133813034.0,4291795069.0,4330281843.0,4480948952.0,4463064319.0,4607974781.0,2018495902.0,"Brooklyn, NY",Brooklyn,NY,40.6501,-73.9496
20,Maryland Transit Administration (MTA),Baltimore,MD,93945040.0,93150171.0,113445578.0,115353270.0,117793877.0,123934015.0,125679777.0,125758369.0,133127901.0,138192791.0,137905520.0,139675448.0,136704625.0,136013030.0,153366531.0,148528023.0,145989271.0,134835788.0,102029183.0,"Baltimore, MD",Baltimore,MD,39.3051,-76.6144
21,Massachusetts Bay Transportation Authority (MBTA),Boston,MA,290533067.0,283071935.0,303544254.0,327580811.0,341868507.0,395876376.0,449670261.0,456042219.0,445707914.0,455503249.0,472185325.0,564945469.0,576853118.0,602771384.0,619056043.0,659480966.0,659727894.0,671521399.0,545414783.0,"Boston, MA",Boston,MA,42.3188,-71.0846
22,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad (MTA-MNCR)",New York,NY,339446185.0,378418046.0,403361946.0,438051180.0,454893543.0,477154857.0,503268971.0,502556970.0,527270420.0,568123862.0,588121687.0,619477822.0,650513294.0,678284864.0,695365952.0,738211021.0,741115804.0,757532731.0,243671760.0,"New York, NY",New York,NY,40.6943,-73.9249
