,Agency Name,City_x,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
0,Bi-State Development Agency of the Missouri-Illinois Metropolitan District (BSD),Saint Louis,0.7486214745789401,0.7401789491030594,0.7554459577716989,0.7772522425699716,0.9973164889853265,1.0765585436633631,1.0304447552372549,1.0310930783830716,1.10786875396801,1.1065846577693057,1.1646170716048103,1.1591659424323053,1.138977493998986,1.1349497262049846,1.123859239259591,1.4811557358978962,"Saint Louis, MO",Saint Louis,MO,38.6358,-90.2451
1,Broward County Board of County Commissioners (BCT),Fort Lauderdale,0.5211877131583391,0.4770936579953273,0.4912703984628114,0.5951961643218346,0.6587170898910317,0.757956564110598,0.8533899488967923,0.8805506948227129,0.9066422576506858,0.9158403028382769,0.9530521644311436,1.1049776484895024,1.1310367434071453,1.0885680884851143,1.068311235254075,0.9205094853837799,"Fort Lauderdale, FL",Fort Lauderdale,FL,26.1412,-80.1464
2,Capital Metropolitan Transportation Authority (CMTA),Austin,0.14049686233256878,0.15907916498134012,0.32877945264841185,0.34224106082605293,0.41354346940867975,0.446522892256905,0.5201577953939334,0.5550337798825579,0.610368265732547,0.6807435501212676,0.7013662372298877,0.7858225398541295,0.7779033239737052,0.7549975772241692,0.725113990278925,0.8250631242107789,"Austin, TX",Austin,TX,30.3004,-97.7522
3,Central Florida Regional Transportation Authority (LYNX),Orlando,0.7133781245357805,0.761347170165081,0.7272065331035489,0.8206828843422981,0.900333353748843,0.8654526230341365,0.9289900113605872,0.9829673685260276,0.9983003847988539,0.9809721183844291,0.9907307212707098,1.0448639305849383,1.0288504062846995,1.0422747695962036,1.0309335742067884,0.8997682436948652,"Orlando, FL",Orlando,FL,28.4772,-81.3369
4,Central Ohio Transit Authority (COTA),Columbus,0.7826569983055315,0.8829604069816771,0.8687038618372053,0.8409228216098987,0.8189959971585664,0.9301475560244652,0.9415418771082378,1.0764512704474438,1.0897196816971146,1.08924707610244,1.0432871333182903,1.0370505021427074,1.0534794979749356,1.0112497399147857,0.9794985050033598,0.41616032941339726,"Columbus, OH",Columbus,OH,39.9862,-82.985
5,Central Puget Sound Regional Transit Authority (ST),Seattle,1.5045678193516492,1.4728281151811358,1.6003789690898704,0.7339906233464463,1.5444356581376517,1.6537748308707687,1.8367890380361316,1.9039058149429935,1.8817838304858407,1.8260916801474223,1.8871903588635122,1.8852366653139008,1.9302255638519321,1.9922210176519828,2.045159558037395,1.940048822791766,"Seattle, WA",Seattle,WA,47.6211,-122.3244
6,Chicago Transit Authority (CTA),Chicago,0.8497528273800018,0.9363243879604325,0.9201789944126437,0.8992315579860657,0.974812507231648,0.9886228175371109,0.9958689582383983,1.0102361034528455,1.0902734160624072,1.1418581003957102,1.1461373866390518,1.1677369957450152,1.1781133838190418,1.2682351622514272,1.2918260754901187,1.1964654869283837,"Chicago, IL",Chicago,IL,41.8373,-87.6862
7,City and County of San Francisco (SFMTA),San Francisco,0.5555605019585151,0.6295656693504754,0.6869292985394889,0.7007011624052122,0.6589570501813722,0.8910121083938602,0.8799684920478663,0.9188788963820387,1.0045659688476696,0.9210225007950505,0.9552240472248611,0.9050958719850353,0.8778763170093009,0.9065151260403321,0.8976648587019755,1.7256440632630154,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
8,City of Charlotte North Carolina (CATS),Charlotte,0.5875698826459282,0.6614198255031903,0.6414999158509115,0.6298188650773324,0.883938913354998,0.7980873597527689,0.8445679057408085,0.8695861054156693,0.9343079360388532,0.9529840956202594,1.0917312240846142,1.2007889732352481,1.272382574947579,1.1305851564500753,1.1232291072698255,1.7361195168003698,"Charlotte, NC",Charlotte,NC,35.208,-80.8304
9,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,0.8456549911536031,0.8851958653942994,0.8912425363577278,0.8801365939292709,0.9575037006288875,0.9043986888586649,0.8833314583567705,0.9295418102418888,0.9040976406572618,0.9318248317698109,0.9870294060975651,1.0057663188112023,1.0392282662702919,1.0314610114163991,0.963243356059815,1.0149105550860018,"Hartford, CT",Hartford,CT,41.7661,-72.6834
10,County of Miami-Dade (MDT),Miami,0.8334684592928533,0.8361474392339334,0.7986344004881929,0.7861605965099882,0.9761215998184525,1.0178575070815274,0.9931302069964,1.0125142908647138,1.0296486698560134,1.0990829906488504,1.1465274740687976,1.149876024918587,1.0646728845992326,1.047753710266659,1.1246455432093387,0.993398733774851,"Miami, FL",Miami,FL,25.7839,-80.2102
11,Dallas Area Rapid Transit (DART),Dallas,0.6246368223225617,0.6380206610599596,0.5628338428245228,0.7237557506793562,0.745017573972353,0.9181679226994234,0.9035904347697845,0.8599351140043616,0.9909886096720822,1.0203491817005914,1.0047156420594026,1.0403336976924213,1.0470002157553695,1.0192861509238833,0.9546088488481347,1.071795951821638,"Dallas, TX",Dallas,TX,32.7936,-96.7662
12,Denver Regional Transportation District (RTD),Denver,0.6767306698817261,0.7782241611710421,0.8226551875680203,0.8694172223299372,1.001606602000358,1.0240978120981823,1.1081524863293393,1.1579137799444104,1.16502664353307,1.1566936359449755,1.1849621006621458,1.3177864594947917,1.4345346207016034,1.3679023131650847,1.4674775013136898,1.4568283176693244,"Denver, CO",Denver,CO,39.7621,-104.8759
13,Fort Worth Transportation Authority (FWTA),Fort Worth,0.6777604705889383,0.7272620668111907,0.7212730420813521,0.8149214326538038,0.8799518290027487,0.8875500617543135,1.2078833334348977,1.0950951081667524,1.2255987939398183,0.6794970090994286,1.1950778584849284,1.069704834414525,1.1886466370803128,1.7085807141314961,1.6704570477618301,1.8082323026572458,"Fort Worth, TX",Fort Worth,TX,32.7811,-97.3473
14,"Golden Gate Bridge, Highway and Transportation District (GGBHTD)",San Francisco,2.4140195102912037,2.44735560914405,2.757185540955425,2.2833534775375752,2.9538911774985714,3.020376758994452,3.102983876005362,3.287089827440859,3.552967231190587,4.610595776075002,3.3881807752779722,6.195680526844109,6.2032111085487465,6.379249675444431,6.474391311459792,17.578446490525234,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
15,Greater Dayton Regional Transit Authority (GDRTA),Dayton,0.5930501819919111,0.629319251172363,0.7025160952121617,0.7931748014386655,0.8070568937326533,0.8883992394490592,0.9107146045533288,0.9614304663859587,1.0349406169018558,0.9352420054660465,0.869739019437416,0.8543326504724594,0.8490598835132954,0.9430496833963503,0.9917947160418048,1.0546749564952278,"Dayton, OH",Dayton,OH,39.7797,-84.1998
16,Indianapolis and Marion County Public Transportation (IndyGo),Indianapolis,0.9178153544234653,0.9606179931159468,1.0255048542974294,1.035525494718835,1.2084561229478492,1.1261563613763397,1.0937108630318224,1.1023037891839798,1.078722410561025,1.0762879750540086,1.1287293022537923,1.163987195495969,1.1096322830217842,1.1281248512732762,0.9692004540886628,1.0141972279571339,"Indianapolis, IN",Indianapolis,IN,39.7771,-86.1458
17,King County Department of Metro Transit (KCM),Seattle,0.9047136910504175,0.7855580991564622,0.8516540181308688,0.9949854429099636,1.1752828742023316,1.3207222638473426,1.4025283722326927,1.511562676390444,1.5335283940853748,1.5970742541888943,1.604129345577007,1.7480162638920365,1.8084491142857664,1.8418942547060286,1.8580661547224078,1.1996899441467992,"Seattle, WA",Seattle,WA,47.6211,-122.3244
18,Los Angeles County Metropolitan Transportation Authority (LACMTA),Los Angeles,0.5824985088238639,0.5714725866437499,0.6095008659498643,0.7037824716731885,0.7362881912251513,0.7167771499391903,0.7788784757998816,0.7599789810904,0.7393499433414955,0.7611106931587225,0.827490162909759,0.8485274798324667,0.8330236706799424,0.814598807665796,0.7515882191075902,0.9266863875496617,"Los Angeles, CA",Los Angeles,CA,34.1139,-118.4068
19,MTA New York City Transit (NYCT),Brooklyn,0.8378814865064649,0.8547996085473135,0.8632837873365681,0.9003176926867245,0.9607638795812797,0.9896536996939223,1.0793740741535467,1.0720951987855323,1.1468641706995086,1.1599041710386682,1.2439807897319757,1.2470063455219076,1.3019606043065672,1.3246051877699165,1.3307930468100604,1.312095518230715,"Brooklyn, NY",Brooklyn,NY,40.6501,-73.9496
20,Maryland Transit Administration (MTA),Baltimore,1.0242214719054425,1.1485443053032354,1.1257600973494326,1.0890343105426186,1.053943781644756,1.1035057187911759,1.1766615600410364,1.27700908478274,1.2526098390920544,1.175997242461489,1.2082503011031076,1.4314938934768604,1.490667577157225,1.539533907499355,1.4334404549221305,1.9496021608406955,"Baltimore, MD",Baltimore,MD,39.3051,-76.6144
21,Massachusetts Bay Transportation Authority (MBTA),Boston,0.8522901670602192,0.893901191746471,1.0761526167464814,1.1687406206066013,1.228362731055962,1.2261362659138355,1.1674682656772102,1.1778097189812324,1.4116193362111609,1.393429531072034,1.5122452610367239,1.5756791445526077,1.7349819436572673,1.7815689424972612,1.8330663110793308,3.661675355692848,"Boston, MA",Boston,MA,42.3188,-71.0846
