,Agency Name,City_x,State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
0,Bi-State Development Agency of the Missouri-Illinois Metropolitan District (BSD),Saint Louis,MO,73530149.0,49361111.0,51362948.0,26731152.0,27890157.0,37775370.0,36338783.0,54613965.0,54102006.0,47775182.0,71626695.0,49088103.0,69653994.0,53534077.0,64403939.0,50698453.0,42218391.0,41867180.0,69341506.0,"Saint Louis, MO",Saint Louis,MO,38.6358,-90.2451
1,Broward County Board of County Commissioners (BCT),Fort Lauderdale,FL,14353153.0,18554612.0,15896532.0,11585636.0,16286717.0,8556327.0,33242713.0,9510924.0,26347932.0,29501355.0,16770527.0,41013727.0,26471081.0,58867989.0,27525089.0,13735883.0,35721746.0,14545669.0,68154903.0,"Fort Lauderdale, FL",Fort Lauderdale,FL,26.1412,-80.1464
2,Capital Metropolitan Transportation Authority (CMTA),Austin,TX,8269738.0,23490195.0,13905544.0,33432145.0,19594725.0,15863992.0,24192975.0,33092343.0,26659508.0,23140042.0,31450108.0,56311808.0,43294346.0,32280915.0,41689476.0,33450278.0,77536720.0,47133349.0,126298036.0,"Austin, TX",Austin,TX,30.3004,-97.7522
3,Central Florida Regional Transportation Authority (LYNX),Orlando,FL,27157718.0,21459390.0,28024551.0,39110875.0,31854297.0,24889097.0,37009321.0,27170764.0,30195618.0,42492448.0,31138748.0,45429346.0,43843729.0,32789575.0,48679641.0,37021227.0,23777054.0,33110709.0,87199700.0,"Orlando, FL",Orlando,FL,28.4772,-81.3369
4,Central Ohio Transit Authority (COTA),Columbus,OH,15609067.0,17681713.0,18990654.0,16323185.0,13975014.0,19433456.0,10180263.0,27323309.0,24642722.0,22354119.0,21241309.0,27756877.0,22948271.0,26656948.0,14392481.0,36359071.0,3714550.0,25451036.0,88681320.0,"Columbus, OH",Columbus,OH,39.9862,-82.985
5,Central Puget Sound Regional Transit Authority (ST),Seattle,WA,78076970.0,26879177.0,68841956.0,135393164.0,130445604.0,112667746.0,162223078.0,130701340.0,152309421.0,175990023.0,134865863.0,153782669.0,191312217.0,154871320.0,172350678.0,95956001.0,176607038.0,282037514.0,612021888.0,"Seattle, WA",Seattle,WA,47.6211,-122.3244
6,Chicago Transit Authority (CTA),Chicago,IL,282274782.0,280580446.0,292080579.0,192026540.0,374615733.0,343696227.0,319001821.0,529312348.0,279645603.0,238617531.0,196739596.0,204009003.0,233927130.0,231029056.0,219788715.0,217657941.0,279898674.0,367933647.0,829390375.0,"Chicago, IL",Chicago,IL,41.8373,-87.6862
7,City and County of San Francisco (SFMTA),San Francisco,CA,166434328.0,98408522.0,79147748.0,65453808.0,67572812.0,78666955.0,65016115.0,49660733.0,123139931.0,137975718.0,134884336.0,105924060.0,303974939.0,181356525.0,293930150.0,295976600.0,348302833.0,334526447.0,453948010.0,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
8,City of Charlotte North Carolina (CATS),Charlotte,NC,14005994.0,10226579.0,27942201.0,41639759.0,36655065.0,86955591.0,90325575.0,19226513.0,33622821.0,27123798.0,50466609.0,35473666.0,62488246.0,128846524.0,250610903.0,217653593.0,69066211.0,61918380.0,82019638.0,"Charlotte, NC",Charlotte,NC,35.208,-80.8304
9,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,0.0,6683945.0,17978491.0,1029463.0,12274875.0,18322237.0,18705536.0,628599.0,1197842.0,10989694.0,4487231.0,2533598.0,2378612.0,29060479.0,58990653.0,64040598.0,71634026.0,13813952.0,88426224.0,"Hartford, CT",Hartford,CT,41.7661,-72.6834
10,County of Miami-Dade (MDT),Miami,FL,77500583.0,68374320.0,78102210.0,96758609.0,90087572.0,84959787.0,83480890.0,63856566.0,76827397.0,105068334.0,81146202.0,97284377.0,67135141.0,96762660.0,86861062.0,120733846.0,135918385.0,115412195.0,221719393.0,"Miami, FL",Miami,FL,25.7839,-80.2102
