,Agency Name,City_x,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
0,Bi-State Development Agency of the Missouri-Illinois Metropolitan District (BSD),Saint Louis,0.5570692310725286,0.5377368547360363,0.6671262949629005,0.6208981673083057,1.1521790615761982,1.3050078022582696,1.0675319358978284,1.5105386920628274,1.03032048760117,1.4533254519551688,1.1840417963012229,1.524714103997608,1.2923101883797121,1.1404033145996988,1.1607129292334941,3.314569947952726,"Saint Louis, MO",Saint Louis,MO,38.6358,-90.2451
1,Broward County Board of County Commissioners (BCT),Fort Lauderdale,0.2858387021676363,0.39108810299259755,0.20235403289938927,0.7918907523879906,0.2536134066168429,0.7173608024311701,0.7896697894486385,0.4302069735872506,1.0637978723900934,0.6818013429469836,1.6026850942635362,0.8522629482010033,0.4661497595554897,1.2634193636716708,0.5362954283000461,4.541450027653209,"Fort Lauderdale, FL",Fort Lauderdale,FL,26.1412,-80.1464
2,Capital Metropolitan Transportation Authority (CMTA),Austin,0.9772405258181314,0.5634610063695711,0.44587578463244376,0.6341181775970453,0.9672140572285963,0.7873292581056762,0.6805949754005364,0.8579592855114199,1.5723858263532506,1.2751882871413367,0.9446306454017647,1.3909566992973394,1.1295537013394337,2.611623678815845,1.4942758685539006,6.811451873566701,"Austin, TX",Austin,TX,30.3004,-97.7522
3,Central Florida Regional Transportation Authority (LYNX),Orlando,1.5983301481191026,1.263209846013086,0.9290328637235898,1.3758957381284433,1.1221274376314783,1.1489409013562248,1.4915930109993119,1.0544482557136445,1.5140578277100034,1.456325735617781,1.1385108203505596,1.8076086776105034,1.423347930175833,0.9596320594112481,1.3430973050930084,5.770725380028721,"Orlando, FL",Orlando,FL,28.4772,-81.3369
4,Central Ohio Transit Authority (COTA),Columbus,1.0866743992785144,0.9343867276699681,1.2915117443864952,0.6121642676921576,1.6194695101549839,1.4266475032258124,1.1750919780292508,1.1363660632242818,1.480431043779714,1.1873562744399744,1.3882005793094125,0.7644265147070969,1.9455018163831705,0.1934133198203574,1.3098737713935624,8.451999495251206,"Columbus, OH",Columbus,OH,39.9862,-82.985
5,Central Puget Sound Regional Transit Authority (ST),Seattle,12.358895997286382,10.643075909350737,8.1852605550527,10.058386018674687,6.949128382474829,6.701041263322005,7.0095495790447195,4.742258852151088,5.081904349301664,5.807434462066017,4.467234282591134,4.033273969827251,2.0505319264308746,3.664906087722568,5.89967732429913,38.564592026728086,"Seattle, WA",Seattle,WA,47.6211,-122.3244
6,Chicago Transit Authority (CTA),Chicago,0.3897942242603288,0.7571004317348604,0.688019503967604,0.6054109419473964,1.0154832371983986,0.5410334375142988,0.44856271102422673,0.36060769666379294,0.38548093702894276,0.4549192577836589,0.4477612467350512,0.44160505785672893,0.45398821953042257,0.5979872499840371,0.8073260812268978,4.199449338157028,"Chicago, IL",Chicago,IL,41.8373,-87.6862
7,City and County of San Francisco (SFMTA),San Francisco,0.2990709418514261,0.3128835181331304,0.3779093395998927,0.300642780025959,0.21512999670651492,0.5847661485192783,0.6336221583709529,0.6127672596185024,0.48346659207301645,1.315491138471678,0.806965388290521,1.2885331966847928,1.3190843490283624,1.551503024704712,1.5257182465735921,5.096665514284154,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
8,City of Charlotte North Carolina (CATS),Charlotte,2.2717149987195615,1.9218749139797997,4.199273299578723,3.436429558531277,0.7930060350743818,1.3233262134753054,0.9773282585198786,1.763943138843467,1.215591920778052,2.1824867167210242,4.855382716602073,9.806343050555643,9.314159775450506,2.93960476895001,2.5184720235463773,6.774815680339624,"Charlotte, NC",Charlotte,NC,35.208,-80.8304
9,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,0.08148745800019504,0.9171033941314947,1.356316613886335,1.3303183633364097,0.04758051990164759,0.0872793846443508,0.7702960255052886,0.3061806830200266,0.17358301006304036,0.16159201503329412,1.8891545464166593,3.729321932190943,4.070049835400942,4.470210371391014,0.8705069469707936,8.266513376421752,"Hartford, CT",Hartford,CT,41.7661,-72.6834
