,Agency Name,City_x,State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
0,Bi-State Development Agency of the Missouri-Illinois Metropolitan District (BSD),Saint Louis,MO,140790029.0,182966739.0,311789084.0,309843748.0,299439631.0,190361700.0,162699052.0,173054837.0,131981460.0,163921773.0,178301585.0,186376836.0,198905389.0,203708812.0,221203187.0,214374209.0,221753941.0,244683363.0,235597416.0,"Saint Louis, MO",Saint Louis,MO,38.6358,-90.2451
1,Broward County Board of County Commissioners (BCT),Fort Lauderdale,FL,47972260.0,59294086.0,65536065.0,64258703.0,75439631.0,88805735.0,89184506.0,86953214.0,70485657.0,70830143.0,61691270.0,67819761.0,64433120.0,70341881.0,63478334.0,79560963.0,82701956.0,84635017.0,148048314.0,"Fort Lauderdale, FL",Fort Lauderdale,FL,26.1412,-80.1464
2,Capital Metropolitan Transportation Authority (CMTA),Austin,TX,108251112.0,124137685.0,142978062.0,120100500.0,128015728.0,140492532.0,161035117.0,163967157.0,134871747.0,131280716.0,147944072.0,136531387.0,153585436.0,160053147.0,194540085.0,242451033.0,209253503.0,265727231.0,196589716.0,"Austin, TX",Austin,TX,30.3004,-97.7522
3,Central Florida Regional Transportation Authority (LYNX),Orlando,FL,34968989.0,33801263.0,35906645.0,38331369.0,45815522.0,51075935.0,55191672.0,50580720.0,45572785.0,42522715.0,43401055.0,52806579.0,56163599.0,52249082.0,62714727.0,68359070.0,73736483.0,76128582.0,82408497.0,"Orlando, FL",Orlando,FL,28.4772,-81.3369
4,Central Ohio Transit Authority (COTA),Columbus,OH,41185879.0,42575130.0,47996876.0,50899698.0,42369494.0,44111862.0,73857824.0,77947669.0,81892199.0,76985896.0,89273837.0,89053071.0,101442153.0,101113854.0,113054336.0,134846872.0,131382944.0,135701616.0,133699649.0,"Columbus, OH",Columbus,OH,39.9862,-82.985
5,Central Puget Sound Regional Transit Authority (ST),Seattle,WA,275979821.0,439433441.0,500726222.0,526709290.0,638552690.0,725523671.0,491304610.0,399196907.0,559150826.0,579196547.0,594893343.0,675279980.0,782243409.0,816463580.0,836159884.0,1260384163.0,1420057677.0,1981732862.0,1899708595.0,"Seattle, WA",Seattle,WA,47.6211,-122.3244
6,Chicago Transit Authority (CTA),Chicago,IL,425094169.0,432491857.0,472502493.0,461768627.0,565674095.0,699701086.0,932305557.0,505485786.0,434727843.0,365060939.0,421383711.0,860240378.0,710458863.0,763757715.0,688145237.0,656359523.0,615316660.0,591162770.0,662965432.0,"Chicago, IL",Chicago,IL,41.8373,-87.6862
7,City and County of San Francisco (SFMTA),San Francisco,CA,270444919.0,302930317.0,353137288.0,333576096.0,277391533.0,323892154.0,338687417.0,342022309.0,367131100.0,358863109.0,421165281.0,412447147.0,400579955.0,363153184.0,439527708.0,549322750.0,589740530.0,600546758.0,521115931.0,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
8,City of Charlotte North Carolina (CATS),Charlotte,NC,37083093.0,63172684.0,46168538.0,52689118.0,170367698.0,136094946.0,56655683.0,82146941.0,80008063.0,77543926.0,76475265.0,102512947.0,127051629.0,200688032.0,114064878.0,102030045.0,124105428.0,136282260.0,121419927.0,"Charlotte, NC",Charlotte,NC,35.208,-80.8304
9,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hartford, CT",Hartford,CT,41.7661,-72.6834
