,Agency Name,City_x,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
0,Bi-State Development Agency of the Missouri-Illinois Metropolitan District (BSD),Saint Louis,6.457051250577989,5.773353135203194,3.36185444706006,2.7799374351529256,3.6509006386165503,3.1835572798065517,3.6628165574857334,3.7602103936057505,3.911902493870731,4.150146283998354,4.5055366824175955,5.236816634276365,5.464426585492496,5.9900181734056615,6.783526929743832,11.26171264421221,"Saint Louis, MO",Saint Louis,MO,38.6358,-90.2451
1,Broward County Board of County Commissioners (BCT),Fort Lauderdale,1.585379021790051,1.8115094759890256,2.100223451236079,2.12450727344941,2.3186496726105013,1.9190746152452578,1.8959272924727342,1.5825390915535298,1.7590822082032347,1.6595690877249836,1.915062601869404,1.9654879983032203,2.7000320090418075,2.925032069370924,3.1204733650405956,9.865086591192286,"Fort Lauderdale, FL",Fort Lauderdale,FL,26.1412,-80.1464
2,Capital Metropolitan Transportation Authority (CMTA),Austin,3.510605609392412,3.681188224382495,3.948704584602584,4.220865557921957,4.792387748858044,3.983136992060261,3.8612287599384993,4.035915880122576,3.812344611118692,4.523693441695491,4.683606631013821,6.490770824575101,8.187120648704898,7.048162513322236,8.424391589508057,10.602392814502243,"Austin, TX",Austin,TX,30.3004,-97.7522
3,Central Florida Regional Transportation Authority (LYNX),Orlando,1.5664743550579725,1.8168543631846328,1.906506377487698,2.0518611050708806,2.088936981203593,1.7340409020677583,1.4926554596881687,1.4696855101843513,1.7599243953354884,1.865546031192216,1.8141785982399485,2.3287699418155885,2.628187898614081,2.975973938362275,3.088067166569949,5.453651849351784,"Orlando, FL",Orlando,FL,28.4772,-81.3369
4,Central Ohio Transit Authority (COTA),Columbus,3.388517544070462,2.832876793661341,2.9315932194333496,4.44125272031737,4.620006798340304,4.741006340006651,4.046927942496602,4.775965487843345,4.749703320453485,5.248673281627617,5.265655719439725,6.004644511325398,7.2153888202916105,6.840993220393346,6.984076700615291,12.742586216164389,"Columbus, OH",Columbus,OH,39.9862,-82.985
5,Central Puget Sound Regional Transit Authority (ST),Seattle,48.07883310795922,52.099607371898166,52.70896504837624,30.46256723186093,21.224499738333705,24.60053181770406,23.06896063197858,20.918104546051833,22.315312184875268,23.74562065291733,23.55073938197911,19.567441996085293,26.933781513043208,29.468689834175628,41.45400469229713,119.70403080721815,"Seattle, WA",Seattle,WA,47.6211,-122.3244
6,Chicago Transit Authority (CTA),Chicago,0.9373430555444164,1.143230419384779,1.4006787281820055,1.7693566252280488,0.9697720906466685,0.8410727605163395,0.686256050846867,0.7723621097369305,1.6254491816793593,1.381632898423463,1.4802514999321728,1.3826388547711261,1.3690265094376108,1.3145882834113132,1.2971391074525398,3.356790515724743,"Chicago, IL",Chicago,IL,41.8373,-87.6862
7,City and County of San Francisco (SFMTA),San Francisco,1.5241728519422695,1.284410640560324,1.555950271873708,1.5661336671176254,1.4816385857358294,1.7434299142870726,1.647997350405457,1.9133155319445434,1.882522408698538,1.7335619271294058,1.6158892002121181,1.9268048637432404,2.448176788604977,2.6269789659906664,2.7389916546754085,5.8507880549399935,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
8,City of Charlotte North Carolina (CATS),Charlotte,2.874528155408028,8.932610130105799,6.572318885687387,2.155461105229366,3.3881869258299293,3.148955498329057,2.7940729449605226,2.6730153196539503,3.512856837191528,4.437450406757579,7.562619244595871,4.4633306464235405,4.366223079195412,5.282190853084181,5.54315308500761,10.029276468463474,"Charlotte, NC",Charlotte,NC,35.208,-80.8304
9,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hartford, CT",Hartford,CT,41.7661,-72.6834
