,Agency Name,City_x,State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
0,Bi-State Development Agency of the Missouri-Illinois Metropolitan District (BSD),Saint Louis,MO,154686577.0,160130968.0,166182158.0,170408646.0,175513834.0,181572844.0,203007968.0,198491747.0,193911938.0,210028171.0,222082675.0,232058295.0,246698778.0,250834623.0,261712810.0,256572055.0,269711035.0,281199984.0,282175101.0,"Saint Louis, MO",Saint Louis,MO,38.6358,-90.2451
1,Broward County Board of County Commissioners (BCT),Fort Lauderdale,FL,87526720.0,99593129.0,110090920.0,107525246.0,107619263.0,121199887.0,131538516.0,123221967.0,119494436.0,116781518.0,115227508.0,119886136.0,123922446.0,128110206.0,127822736.0,139172910.0,143588946.0,152352531.0,158832625.0,"Fort Lauderdale, FL",Fort Lauderdale,FL,26.1412,-80.1464
2,Capital Metropolitan Transportation Authority (CMTA),Austin,TX,92232128.0,107644936.0,110758943.0,121396752.0,128077124.0,134393450.0,144621562.0,144838258.0,145451357.0,153098076.0,164461413.0,167197164.0,185479257.0,194645347.0,216420029.0,216932623.0,226716115.0,234119568.0,229551099.0,"Austin, TX",Austin,TX,30.3004,-97.7522
3,Central Florida Regional Transportation Authority (LYNX),Orlando,FL,77238744.0,81613947.0,77660799.0,83627447.0,86787980.0,95458228.0,108832702.0,105796655.0,105838213.0,109692028.0,111000785.0,118950651.0,119888007.0,113110292.0,116294110.0,125291350.0,132716555.0,137810861.0,139097081.0,"Orlando, FL",Orlando,FL,28.4772,-81.3369
4,Central Ohio Transit Authority (COTA),Columbus,OH,67291912.0,70567912.0,70960352.0,73268125.0,67361346.0,69572572.0,78134053.0,81041138.0,86998057.0,92836172.0,93646094.0,100094135.0,106978041.0,111763375.0,124638660.0,144045834.0,154083232.0,169304679.0,181840083.0,"Columbus, OH",Columbus,OH,39.9862,-82.985
5,Central Puget Sound Regional Transit Authority (ST),Seattle,WA,12052321.0,20067109.0,25237456.0,80942435.0,88932295.0,98412817.0,115290534.0,138980518.0,172421878.0,175166744.0,195027964.0,201840614.0,217253772.0,215159856.0,252530955.0,265746172.0,310311796.0,336356444.0,349797231.0,"Seattle, WA",Seattle,WA,47.6211,-122.3244
6,Chicago Transit Authority (CTA),Chicago,IL,956191805.0,1014845746.0,1120030792.0,1214595039.0,1341265657.0,1408238949.0,1191880955.0,1248920132.0,1161941896.0,1213085293.0,1283092210.0,1277925526.0,1329496754.0,1363369808.0,1394386401.0,1414807023.0,1432446853.0,1447704226.0,1436453698.0,"Chicago, IL",Chicago,IL,41.8373,-87.6862
7,City and County of San Francisco (SFMTA),San Francisco,CA,442787909.0,430702550.0,431621951.0,454163817.0,454420798.0,490691088.0,584114742.0,610493175.0,636306898.0,632341706.0,646619295.0,667966406.0,714836008.0,744904420.0,803584743.0,819725235.0,858824849.0,855787700.0,903485983.0,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
8,City of Charlotte North Carolina (CATS),Charlotte,NC,46934452.0,57435399.0,60868642.0,69648061.0,78145125.0,83246006.0,100987929.0,101607668.0,100568317.0,101948946.0,106334874.0,104647816.0,106525412.0,113087745.0,119210636.0,123257826.0,145366326.0,156853722.0,162317729.0,"Charlotte, NC",Charlotte,NC,35.208,-80.8304
9,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,36966132.0,37059386.0,36468751.0,39024831.0,41512876.0,43073242.0,47095202.0,57924037.0,56141411.0,59923475.0,64426641.0,67488819.0,68633737.0,74314901.0,91970549.0,94874276.0,97147350.0,100177243.0,105336088.0,"Hartford, CT",Hartford,CT,41.7661,-72.6834
