,Agency Name,City_x,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
0,Bi-State Development Agency of the Missouri-Illinois Metropolitan District (BSD),Saint Louis,3.551265332497856,3.383998772678934,3.206640164837478,3.4686707939609085,4.187537652486505,4.677397581912616,4.6930596722940825,4.6835118306703105,4.870720216185502,5.14735182355283,5.547843434219666,6.195851042648901,6.540055191230783,7.285435352051085,7.795902593130268,13.488156859978282,"Saint Louis, MO",Saint Louis,MO,38.6358,-90.2451
1,Broward County Board of County Commissioners (BCT),Fort Lauderdale,2.6528432937903306,2.584229431390712,2.866333407009838,3.1334426405943385,3.2857735821354686,3.2534099638263867,3.1259186817199547,2.9558807240035274,3.1095593045194203,3.1918035422911157,3.4878092672612113,3.9577921739137167,4.72306138113857,5.0785046953081725,5.6172023346084,10.58369093707729,"Fort Lauderdale, FL",Fort Lauderdale,FL,26.1412,-80.1464
2,Capital Metropolitan Transportation Authority (CMTA),Austin,3.5484957892200244,3.6829537123874077,3.777282853408593,3.7906525070471115,4.233293458915925,4.295582236449144,4.502921008919925,4.486509120785167,4.6686203163652635,5.463091555513456,5.695871996226266,7.220788507864059,7.32541138375358,7.636345389682929,7.42232895054124,12.380052080642372,"Austin, TX",Austin,TX,30.3004,-97.7522
3,Central Florida Regional Transportation Authority (LYNX),Orlando,3.417572983226082,3.441652812227713,3.5631598416294237,4.046073983654089,4.369304057299659,4.027135720227753,3.8504692016600415,3.7588082901115767,3.9643574058440274,3.9822340382138726,3.927385192855087,4.318319487832509,4.817052219566786,5.356385235640049,5.590136895638422,9.205204325411794,"Orlando, FL",Orlando,FL,28.4772,-81.3369
4,Central Ohio Transit Authority (COTA),Columbus,4.8776385074749875,4.5038629414170535,4.623665179532401,4.698392893834396,4.803358629046813,5.036601102936069,4.8801315313810285,5.00987218702534,5.338585632464257,5.5351031983475725,5.820245510497868,6.619921642527292,7.707607042254425,8.022977057724443,8.71350613767968,17.33073312093728,"Columbus, OH",Columbus,OH,39.9862,-82.985
5,Central Puget Sound Regional Transit Authority (ST),Seattle,7.388549808409183,7.255998956298849,7.149646440088716,7.148407671509837,7.389315689072919,7.585913672257166,6.976758998820258,6.8577256551274495,6.670027909011764,6.594910990585787,6.206245836611787,5.909617178164607,5.6788632741457254,6.439514546710894,7.0359239003528105,22.041348144715638,"Seattle, WA",Seattle,WA,47.6211,-122.3244
6,Chicago Transit Authority (CTA),Chicago,2.4655036278706515,2.7107051800887425,2.8190471324517623,2.2619863717195283,2.396047368699608,2.2480218227667317,2.2804059092024485,2.3518037846095594,2.4146774013482366,2.585478976104498,2.64236964631413,2.801636504805267,2.9509868484463317,3.060339451174957,3.1765765079707404,7.273190904053251,"Chicago, IL",Chicago,IL,41.8373,-87.6862
7,City and County of San Francisco (SFMTA),San Francisco,2.075161165642627,2.1041121981293984,2.357238118770872,2.701020814440017,2.6446527627189846,3.0216902916707764,2.903885715482854,2.9375325939521844,3.048782702703058,3.0935459254569326,3.3145324356243884,3.5227608249950464,3.6532845096271,3.8256058368467745,3.90310219354121,10.143817685631488,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
8,City of Charlotte North Carolina (CATS),Charlotte,3.7997468910767456,4.097255192080977,4.020129427817588,3.842077996962189,4.190853220957651,3.9581655010801797,3.6734378368441303,3.716688621026322,3.586013344565745,3.7205444474027067,4.261537412778807,4.664682892471435,5.274634197923291,6.187099870794154,6.3798780046590515,13.407431713199195,"Charlotte, NC",Charlotte,NC,35.208,-80.8304
9,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,3.089022409816778,3.1015875501591554,3.1885273473182707,3.349362030878859,4.3844419021701775,4.090679576392869,4.20019107237795,4.396072532496333,4.623824437665213,4.662662031930872,4.831039883776655,5.8142734155077385,6.029659988771241,6.062329814090761,6.3128195291167435,9.847329684369864,"Hartford, CT",Hartford,CT,41.7661,-72.6834
10,County of Miami-Dade (MDT),Miami,3.3447584662950063,3.639131256907531,4.162607762055884,4.29700029724615,4.771592955950875,4.55669363125039,4.2908514279736165,4.206899729641229,4.043101905174197,4.428396674670634,4.954700205838278,5.477642258224266,6.329163667387963,6.796537945452746,6.940998734050241,11.582991938635471,"Miami, FL",Miami,FL,25.7839,-80.2102
11,Dallas Area Rapid Transit (DART),Dallas,5.0640425615059765,4.994978864046127,4.828174349987681,5.7933215356275465,6.208282079884233,7.092768077276203,6.823065718090691,6.280901531141571,6.556904629378705,6.50585312702283,6.698307220547681,7.4227866041779995,7.767136400705137,8.223485184292606,8.203710572012005,14.01971153607133,"Dallas, TX",Dallas,TX,32.7936,-96.7662
