,Agency Name,City_x,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
0,Bi-State Development Agency of the Missouri-Illinois Metropolitan District (BSD),Saint Louis,0.09506288296598636,0.11774253824904186,0.11570399739926607,0.39488035059059745,0.0,0.047796490397283675,0.12208986093201049,0.12128675406909459,0.08241539123635008,0.10643962566653008,0.14336302774538542,0.14903161718001487,0.18501223653719634,0.6190976375599095,0.3196676771768673,0.3335004444505629,"Saint Louis, MO",Saint Louis,MO,38.6358,0.0
1,Broward County Board of County Commissioners (BCT),Fort Lauderdale,0.03216274932475702,0.03696419494626725,0.03459003093041506,0.19141646187932498,0.03753252422606028,0.10741166199487914,0.16972072375506447,0.10023515189984665,0.03137130045447872,0.08932641731167926,0.16421173677103923,0.183465842634529,0.16592758314019423,0.4289275929504221,0.5422287324398978,0.5160006796692277,"Fort Lauderdale, FL",Fort Lauderdale,FL,26.1412,0.0
2,Capital Metropolitan Transportation Authority (CMTA),Austin,0.41946143032643174,0.5554365994094604,0.3966938114017556,0.29724095532742517,0.5002036880484656,0.4443260967697493,0.2632699235067342,0.17717019374018142,0.2094682677960452,0.2160793319002233,0.2395325205779817,0.3185612809374145,0.3017680795977215,0.368291465759505,0.43577723866914975,0.8584565840582367,"Austin, TX",Austin,TX,30.3004,0.0
3,Central Florida Regional Transportation Authority (LYNX),Orlando,0.09707642082588624,0.13951295771399458,0.17177765260823588,0.16764643567130724,0.13004467692703656,0.1544346632047326,0.13144842502609172,0.06743833439239548,0.07756293637062883,0.08289100315700845,0.13638529483281261,0.11824350681046099,0.12853486181429785,0.1680611105480949,0.2621297830135051,0.3128215767634855,"Orlando, FL",Orlando,FL,28.4772,0.0
4,Central Ohio Transit Authority (COTA),Columbus,0.10761476307963883,0.12036928263709279,0.14375378686907697,0.0725046547034739,0.06687753178164821,0.06055235495885873,0.05934966149130963,0.07330585964967844,0.05530986785239637,0.0681680775367398,0.06386771443892335,0.09972012153295537,0.13767757438310071,0.6323090714182023,2.406699610666807,5.367651930721322,"Columbus, OH",Columbus,OH,39.9862,0.0
5,Central Puget Sound Regional Transit Authority (ST),Seattle,2.6886083746427927,3.3097839966149882,2.1124195778610972,2.6232650357369125,0.8349757370506553,1.0512832888172083,1.0176414077566656,0.552410951926465,0.39785174467261064,0.3627776754618839,1.2374838750283472,0.5331198471822257,0.5905523766166109,0.9061251587353665,1.2755317720944852,2.720871148018654,"Seattle, WA",Seattle,WA,47.6211,0.0
6,Chicago Transit Authority (CTA),Chicago,0.07347169111726101,0.08363963927462056,0.0884317773069291,0.07730551999993805,0.1106188546411711,0.0768460088990904,0.07915682075552383,0.0827285536925425,0.09107597462985279,0.1733983372239458,0.12859151634697366,0.15800390429455283,0.16348004705820338,0.13186582906551114,0.14416100523517897,0.19958745982078066,"Chicago, IL",Chicago,IL,41.8373,0.0
7,City and County of San Francisco (SFMTA),San Francisco,0.03838695591046085,0.03499989234513732,0.06112833463977394,0.1017356841452244,0.09865264633563409,0.10297530123344649,0.10077864697411851,0.11696371044815683,0.11523298102390593,0.17567123470830773,0.18045056496090392,0.3408643376146211,0.3517688028858713,0.2828474094041299,0.3874824317969609,0.3669274504700068,"San Francisco, CA",San Francisco,CA,37.7562,0.0
8,City of Charlotte North Carolina (CATS),Charlotte,0.24593333929089128,0.018829831661253564,0.022780377639860735,0.026511794915341676,1.1609079986172879,0.2116321320098033,0.3718920980346382,0.043710595879897146,0.2331992539565878,0.1357074384022198,0.10140682904167722,0.13635482861167633,0.20597565914084426,0.2855864594895601,0.5385967359146638,0.8480834629257272,"Charlotte, NC",Charlotte,NC,35.208,0.0
9,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,0.09257450413950584,0.06270555653015646,0.0988702196046731,0.07176060047733628,0.08825239182189022,0.08869527505594851,0.10725419670571874,0.04251373204598956,0.04103806777895718,0.05251788722733183,0.06034416630110677,0.05205466357956321,0.2294828886000138,0.17012316256941215,0.17045308676572146,0.04581375253939943,"Hartford, CT",Hartford,CT,41.7661,0.0
