,Agency Name,City_x,State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
0,Bi-State Development Agency of the Missouri-Illinois Metropolitan District (BSD),Saint Louis,MO,46553815.0,45560777.0,45674019.0,47985332.0,51865809.0,56624016.0,58526156.0,47400588.0,41457228.0,44752930.0,47417981.0,47643528.0,47927320.0,45212996.0,42240010.0,39230870.0,37020579.0,36070228.0,20920212.0,"Saint Louis, MO",Saint Louis,MO,38.6358,-90.2451
1,Broward County Board of County Commissioners (BCT),Fort Lauderdale,FL,35388540.0,38272651.0,40800271.0,40532076.0,41644624.0,42283946.0,41978913.0,37501661.0,36728982.0,37359103.0,38982462.0,38554060.0,38825211.0,36730852.0,32296475.0,29466674.0,28273863.0,27122493.0,15007300.0,"Fort Lauderdale, FL",Fort Lauderdale,FL,26.1412,-80.1464
2,Capital Metropolitan Transportation Authority (CMTA),Austin,TX,54521901.0,35609590.0,35208841.0,34210764.0,34775654.0,35579398.0,38152155.0,34214084.0,33860685.0,33999725.0,36656877.0,35812971.0,33951336.0,34173055.0,29971800.0,29613712.0,29689086.0,31542602.0,18542014.0,"Austin, TX",Austin,TX,30.3004,-97.7522
3,Central Florida Regional Transportation Authority (LYNX),Orlando,FL,21985657.0,22668289.0,23873273.0,24469835.0,25216948.0,26790330.0,26898347.0,24213617.0,26281263.0,28487964.0,29530845.0,30005027.0,30105716.0,28800407.0,26930409.0,26009963.0,24777261.0,24652502.0,15110700.0,"Orlando, FL",Orlando,FL,28.4772,-81.3369
4,Central Ohio Transit Authority (COTA),Columbus,OH,16419464.0,15770592.0,15019288.0,15021229.0,14956349.0,15047061.0,16629953.0,16871765.0,17273168.0,19023293.0,18692312.0,18749186.0,19327199.0,19202519.0,18827815.0,18688788.0,19205244.0,19430144.0,10492348.0,"Columbus, OH",Columbus,OH,39.9862,-82.985
5,Central Puget Sound Regional Transit Authority (ST),Seattle,WA,672495.0,1017956.0,1711777.0,10955118.0,12256382.0,13764711.0,16128142.0,18808307.0,22729217.0,25107180.0,28439161.0,30260835.0,32942639.0,34668278.0,42732202.0,46795663.0,48188694.0,47805583.0,15870047.0,"Seattle, WA",Seattle,WA,47.6211,-122.3244
6,Chicago Transit Authority (CTA),Chicago,IL,485581318.0,471248669.0,474355494.0,492635673.0,494803222.0,499544308.0,526917832.0,521241837.0,516873050.0,531960248.0,545577917.0,529232404.0,514216811.0,515964831.0,497704252.0,479435218.0,468067963.0,455743541.0,197499793.0,"Chicago, IL",Chicago,IL,41.8373,-87.6862
7,City and County of San Francisco (SFMTA),San Francisco,CA,228218510.0,232118590.0,225476211.0,218857130.0,215967950.0,208163564.0,216257031.0,230840579.0,210579787.0,217757091.0,220123275.0,219092822.0,231073346.0,224738914.0,228112206.0,224380344.0,224493815.0,219258338.0,89067648.0,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
8,City of Charlotte North Carolina (CATS),Charlotte,NC,15021342.0,15806757.0,16779888.0,18329658.0,19072555.0,20707295.0,26284716.0,24245103.0,25407810.0,27753007.0,28610111.0,29182216.0,28631673.0,26536842.0,25556000.0,23368033.0,23495067.0,24585693.0,12106549.0,"Charlotte, NC",Charlotte,NC,35.208,-80.8304
9,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,13908784.0,13353283.0,12364660.0,12633392.0,13384396.0,13508820.0,14060947.0,13211268.0,13724226.0,14266845.0,14655500.0,14595887.0,14719861.0,15382796.0,15818064.0,15734598.0,16024755.0,15868859.0,10696919.0,"Hartford, CT",Hartford,CT,41.7661,-72.6834
