,Agency Name,City_x,State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
0,Bi-State Development Agency of the Missouri-Illinois Metropolitan District (BSD),Saint Louis,MO,35184144.0,21388526.0,3606423.0,1701838.0,1845352.0,2006215.0,3370797.0,2799409.0,9175772.0,673730.0,1425439.0,894957.0,487066.0,668968.0,459187.0,973644.0,731629.0,729797.0,736284.0,"Saint Louis, MO",Saint Louis,MO,38.6358,-90.2451
1,Broward County Board of County Commissioners (BCT),Fort Lauderdale,FL,15459328.0,15586399.0,16530986.0,14142964.0,9722852.0,15961554.0,11301511.0,13071798.0,16631589.0,16922284.0,26356097.0,17246932.0,17675362.0,18945447.0,19196534.0,16543931.0,36250317.0,18918396.0,22373660.0,"Fort Lauderdale, FL",Fort Lauderdale,FL,26.1412,-80.1464
2,Capital Metropolitan Transportation Authority (CMTA),Austin,TX,0.0,0.0,0.0,0.0,0.0,995290.0,0.0,2054.0,0.0,0.0,1016.0,50000.0,0.0,5084571.0,4267916.0,25631240.0,1688132.0,8343309.0,10784511.0,"Austin, TX",Austin,TX,30.3004,-97.7522
3,Central Florida Regional Transportation Authority (LYNX),Orlando,FL,15805536.0,25648263.0,20105667.0,18072833.0,17613636.0,18358286.0,17035203.0,17673799.0,18815074.0,18785614.0,17710021.0,19621365.0,21428585.0,15841480.0,16886711.0,15916067.0,15471819.0,18041597.0,20332425.0,"Orlando, FL",Orlando,FL,28.4772,-81.3369
4,Central Ohio Transit Authority (COTA),Columbus,OH,1127514.0,0.0,3631984.0,3991837.0,3071282.0,3547951.0,2408929.0,2715985.0,5426771.0,3656370.0,1902986.0,829592.0,745356.0,619459.0,595309.0,8007414.0,1269116.0,0.0,0.0,"Columbus, OH",Columbus,OH,39.9862,-82.985
5,Central Puget Sound Regional Transit Authority (ST),Seattle,WA,11389.0,70582.0,26816083.0,6544919.0,3275231.0,700000.0,10690656.0,22496155.0,11962721.0,7942415.0,3942818.0,14463002.0,10128627.0,4790696.0,58922457.0,286705253.0,76491591.0,40318573.0,14658785.0,"Seattle, WA",Seattle,WA,47.6211,-122.3244
6,Chicago Transit Authority (CTA),Chicago,IL,254442404.0,259567194.0,227462846.0,276743655.0,238364973.0,211703267.0,430021677.0,302115494.0,222333956.0,309866867.0,367907632.0,279212610.0,255766660.0,277146626.0,285805836.0,318474251.0,305821403.0,325245716.0,305819851.0,"Chicago, IL",Chicago,IL,41.8373,-87.6862
7,City and County of San Francisco (SFMTA),San Francisco,CA,100874778.0,80849383.0,71428388.0,70548156.0,95999440.0,121067396.0,145827732.0,104730683.0,87601630.0,130336790.0,115777297.0,194362305.0,227375232.0,214431465.0,192380236.0,202064997.0,192614579.0,227888948.0,192004844.0,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
8,City of Charlotte North Carolina (CATS),Charlotte,NC,13349711.0,16503681.0,16594311.0,53132198.0,55625141.0,45232556.0,22761904.0,23701601.0,20501674.0,14265417.0,15022008.0,50372279.0,39407474.0,26817221.0,43073922.0,35470930.0,57556410.0,10862904.0,28578487.0,"Charlotte, NC",Charlotte,NC,35.208,-80.8304
9,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,25904335.0,26557314.0,28969611.0,26556593.0,31221584.0,34312903.0,38138707.0,44298488.0,42474727.0,45297181.0,50483597.0,52719734.0,54486243.0,65153413.0,90121836.0,71530217.0,87162859.0,85665097.0,48394346.0,"Hartford, CT",Hartford,CT,41.7661,-72.6834
