,Agency Name,City_x,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
0,Bi-State Development Agency of the Missouri-Illinois Metropolitan District (BSD),Saint Louis,0.03546579608952169,0.03557935440667666,0.03543046116686602,0.0575947103035436,0.05905852897858567,0.22133105474393994,0.015054433307495174,0.030061149166178122,0.018784440144734873,0.010162596197742749,0.01479592283599167,0.010870901782456964,0.02481831272158889,0.019762764920559454,0.020232669446946662,0.035194863226051434,"Saint Louis, MO",Saint Louis,MO,38.6358,-90.2451
1,Broward County Board of County Commissioners (BCT),Fort Lauderdale,0.34893263300897787,0.23347196027031003,0.37748496793558484,0.26921876228667474,0.3485658408570223,0.4528192205272665,0.45296280266686273,0.6761013965716173,0.4473441188813837,0.4552547570185774,0.5157911120602375,0.5943848051528843,0.5614454824456944,1.282114049997342,0.6975168543688075,1.4908517854644072,"Fort Lauderdale, FL",Fort Lauderdale,FL,26.1412,-80.1464
2,Capital Metropolitan Transportation Authority (CMTA),Austin,0.0,0.0,0.027973772912065573,0.0,6.0033756858725194e-05,0.0,0.0,2.7716490960209184e-05,0.0013961421966359618,0.0,0.148788892301259,0.1423977205239592,0.8655193242913958,0.05686035602443268,0.26450921835807967,0.5816256529630492,"Austin, TX",Austin,TX,30.3004,-97.7522
3,Central Florida Regional Transportation Authority (LYNX),Orlando,0.7385760059272979,0.6984840512817015,0.6852579270206824,0.633317839196587,0.7299115617464338,0.715912092961438,0.6594228355525863,0.5997126394452986,0.6539359221373139,0.7117779560532624,0.5500436157030697,0.6270499270917126,0.6119219392968763,0.6244362118960607,0.7318363466718307,1.3455647322758046,"Orlando, FL",Orlando,FL,28.4772,-81.3369
4,Central Ohio Transit Authority (COTA),Columbus,0.2657463646949261,0.20534971469307114,0.2357902981851406,0.14485482911467037,0.16097811936095602,0.3141734625634394,0.19220489323273315,0.10180581192952483,0.04424682756894086,0.03856513300245938,0.032259257235990754,0.03161859196088341,0.4284608504307502,0.06608174309058505,0.0,0.0,"Columbus, OH",Columbus,OH,39.9862,-82.985
5,Central Puget Sound Regional Transit Authority (ST),Seattle,0.597430260449956,0.26722657632570523,0.0508546819471909,0.6628572590692716,1.1960754894100782,0.5263146988301445,0.31634038549928745,0.13864044723400948,0.4779445775372689,0.3074625259986002,0.1381867308206078,1.378877152176712,6.126748391191722,1.5873348009804955,0.8433862839827725,0.9236762184762276,"Seattle, WA",Seattle,WA,47.6211,-122.3244
6,Chicago Transit Authority (CTA),Chicago,0.5617612977856762,0.48173690550462905,0.4237927719516724,0.816107656421087,0.5796071469220917,0.43015196091187186,0.5825000423715871,0.6743448012394534,0.5275803368986454,0.4973907008263874,0.5371424743482177,0.5742483309144002,0.6642696219283583,0.6533696539277993,0.7136595184351718,1.5484565647114374,"Chicago, IL",Chicago,IL,41.8373,-87.6862
7,City and County of San Francisco (SFMTA),San Francisco,0.32234799021626576,0.4445078077557341,0.5815974403666532,0.674325969082596,0.45369268892710585,0.4160020828589783,0.5985421159028984,0.5259657207989478,0.887123107118498,0.9839959300195532,0.9541358956642462,0.8433579218465845,0.9005467831888162,0.8579950365224984,1.0393627447819112,2.1557192573447095,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
8,City of Charlotte North Carolina (CATS),Charlotte,2.898701001404391,2.9165018006239856,2.1843778243367855,0.8659748882202113,0.9775830195483187,0.8069044124621524,0.5140133824057336,0.5250594099407724,1.726129331644999,1.3763594603780227,1.0105656505774123,1.6854719830959461,1.517925364107454,2.4497231695487396,0.4418384301796984,2.3605807897857596,"Charlotte, NC",Charlotte,NC,35.208,-80.8304
9,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,2.1020952250986906,2.332685315048957,2.540037027660447,2.7123853748968685,3.353083746389824,3.09487230828172,3.17499636394732,3.4446860905462113,3.611958218092535,3.7015460268272915,4.235472732005287,5.697399884081896,4.546046680061353,5.439263127579798,5.39831483788469,4.524138773042967,"Hartford, CT",Hartford,CT,41.7661,-72.6834
10,County of Miami-Dade (MDT),Miami,0.2641320260206585,0.1903391968843621,0.45201124006980864,0.3113769224725434,0.32723394371812015,1.2457137285920372,0.3126743798362968,0.32380791765734546,0.25479557441224054,0.3551230260674855,0.4022039449803163,0.6089532862870376,0.6134426541010632,0.42075253531341794,0.413232595365977,0.4966749066665165,"Miami, FL",Miami,FL,25.7839,-80.2102
11,Dallas Area Rapid Transit (DART),Dallas,5.767487642416545,5.602640110516443,0.030926601053098725,0.03398961860039077,0.00180156244143862,0.04536909888543592,0.012791268828269715,0.2784558849143912,0.038591212288456016,0.022307071618387058,0.15698263208735025,0.018766698370560515,0.01744702255198315,0.012039001742868182,0.031148426733531392,0.4972309486941861,"Dallas, TX",Dallas,TX,32.7936,-96.7662
