,Agency Name,City_x,State,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
0,Bi-State Development Agency of the Missouri-Illinois Metropolitan District (BSD),Saint Louis,MO,285303098.0,290464588.0,403253079.0,378761212.0,373671932.0,279471294.0,271009047.0,273533527.0,241871881.0,263949986.0,305997244.0,293069232.0,327183452.0,317049556.0,341324591.0,317987575.0,329639810.0,339348685.0,343638198.0,"Saint Louis, MO",Saint Louis,MO,38.6358,-90.2451
1,Broward County Board of County Commissioners (BCT),Fort Lauderdale,FL,97285757.0,113301970.0,119761387.0,112415746.0,122856946.0,135559070.0,166749873.0,135646453.0,145249272.0,155476279.0,143051341.0,162244651.0,147605373.0,189193372.0,151812140.0,148058002.0,197579484.0,161780941.0,260135016.0,"Fort Lauderdale, FL",Fort Lauderdale,FL,26.1412,-80.1464
2,Capital Metropolitan Transportation Authority (CMTA),Austin,TX,137252476.0,165336272.0,172692312.0,172689246.0,172458206.0,183163716.0,209625709.0,228324576.0,191696012.0,181057085.0,206235507.0,222253977.0,227328117.0,229572018.0,273597848.0,333505629.0,321827780.0,357821419.0,364888109.0,"Austin, TX",Austin,TX,30.3004,-97.7522
3,Central Florida Regional Transportation Authority (LYNX),Orlando,FL,92615614.0,96568345.0,101138207.0,115346766.0,118000398.0,118407401.0,135820621.0,120374462.0,121387403.0,134010509.0,123269192.0,150138598.0,153464274.0,133341537.0,159604038.0,151399912.0,142974164.0,159158135.0,208263703.0,"Orlando, FL",Orlando,FL,28.4772,-81.3369
4,Central Ohio Transit Authority (COTA),Columbus,OH,73719958.0,74357467.0,83642775.0,84587696.0,74421939.0,82327781.0,101637272.0,122933213.0,129074218.0,122036638.0,133909751.0,139107912.0,147505373.0,149650423.0,149445033.0,201474639.0,167931558.0,226946969.0,283066740.0,"Columbus, OH",Columbus,OH,39.9862,-82.985
5,Central Puget Sound Regional Transit Authority (ST),Seattle,WA,391350944.0,480298907.0,612131278.0,714584113.0,830891046.0,889997016.0,718364640.0,597147102.0,784906821.0,834795684.0,803557612.0,912509327.0,1055791386.0,1084452671.0,1170774718.0,1761006892.0,1812823823.0,2462836534.0,2600358287.0,"Seattle, WA",Seattle,WA,47.6211,-122.3244
6,Chicago Transit Authority (CTA),Chicago,IL,1402758121.0,1371634297.0,1428767896.0,1385352154.0,1683336288.0,1758946350.0,2195883855.0,1902685865.0,1487419524.0,1485416317.0,1582328320.0,1968670369.0,1876479624.0,1929648680.0,1853566671.0,1835698854.0,1856379156.0,1938783970.0,2073895826.0,"Chicago, IL",Chicago,IL,41.8373,-87.6862
7,City and County of San Francisco (SFMTA),San Francisco,CA,657170504.0,596806609.0,633754667.0,599567696.0,584488647.0,679344848.0,723063874.0,671300786.0,787186318.0,840740261.0,899839981.0,958073424.0,1185346817.0,1014171453.0,1210056826.0,1323272542.0,1397662475.0,1444741412.0,1353449208.0,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
8,City of Charlotte North Carolina (CATS),Charlotte,NC,80999387.0,101082238.0,186718249.0,162738904.0,275622003.0,282038541.0,186994627.0,174652579.0,159787319.0,152693564.0,168093402.0,222429339.0,260118409.0,388013893.0,441921750.0,389700892.0,284001096.0,249920684.0,263303832.0,"Charlotte, NC",Charlotte,NC,35.208,-80.8304
9,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,37019625.0,43800753.0,58022831.0,39439077.0,56183547.0,66010395.0,70228819.0,58742851.0,57302015.0,70419407.0,69216788.0,69048426.0,71354243.0,110325426.0,165845169.0,155533475.0,178051977.0,117469518.0,148167052.0,"Hartford, CT",Hartford,CT,41.7661,-72.6834
10,County of Miami-Dade (MDT),Miami,FL,336837226.0,391811933.0,457859915.0,470636961.0,588214715.0,641193966.0,682013737.0,686040078.0,631377707.0,553758285.0,549823878.0,583629934.0,579827093.0,685032793.0,670048041.0,687352261.0,753700963.0,869858758.0,877953349.0,"Miami, FL",Miami,FL,25.7839,-80.2102
