,Agency Name,City_x,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,place_id,City_y,state_id,lat,lon
0,Bi-State Development Agency of the Missouri-Illinois Metropolitan District (BSD),Saint Louis,7.893270635284966,7.204590831698008,4.935561158360792,4.630562905925344,5.770677929142988,5.834251170869408,5.897937542860322,6.453190067286922,6.151291566820996,6.826658615587101,7.012354500905006,8.08059919966875,8.10554481712998,8.904231616690813,9.407999444860732,16.426133635739447,"Saint Louis, MO",Saint Louis,MO,38.6358,-90.2451
1,Broward County Board of County Commissioners (BCT),Fort Lauderdale,2.7735008194497612,2.9501273921935276,3.2059228814642795,3.972229414325235,3.6170785342014584,3.9546228643091714,4.161670557240092,3.6696333084349573,4.208237757579876,3.8017919078405007,5.150802709395361,4.7005792427811395,5.024591577590331,6.988061164475473,5.964825615403422,17.33389856936291,"Fort Lauderdale, FL",Fort Lauderdale,FL,26.1412,-80.1464
2,Capital Metropolitan Transportation Authority (CMTA),Austin,5.047804427869544,4.959164995142866,5.148027406197261,5.494465751672481,6.673408997300644,5.661315239192592,5.325251454239703,5.626106855747695,6.205963113197171,6.695704610858318,6.717924926524714,9.128509065187943,11.261865077907153,10.839935591146187,11.344067905368112,19.67899004930101,"Austin, TX",Austin,TX,30.3004,-97.7522
3,Central Florida Regional Transportation Authority (LYNX),Orlando,4.713835054466039,4.679408388358496,4.419781353943755,5.049404002409516,4.971354011257385,4.61878118262429,4.704109742626746,4.174252108261718,5.003781466352288,5.097512844404697,4.6298490503971,5.926535983913204,5.820843036185788,5.770378089813883,6.456064175555081,13.78253178211466,"Orlando, FL",Orlando,FL,28.4772,-81.3369
4,Central Ohio Transit Authority (COTA),Columbus,5.6312100694290725,4.9759429256431496,5.471352910711268,6.11169929343757,7.286327956796458,7.472527216779227,6.415116352358133,7.163894493094273,7.419410741351651,7.63200984270923,7.793270403742342,7.937460241669041,10.780508559463566,8.744047094637278,11.680148587679021,26.978397971550315,"Columbus, OH",Columbus,OH,39.9862,-82.985
5,Central Puget Sound Regional Transit Authority (ST),Seattle,65.22833555969,67.79252196937074,64.6578788323271,44.541066168688246,31.74911500540692,34.53294589954419,33.24928104231539,28.255320612306388,30.154796686872654,32.04938699659126,31.28083462928271,27.397949630585384,37.631839771134345,37.61927689926604,51.51775963071091,163.8532190232329,"Seattle, WA",Seattle,WA,47.6211,-122.3244
6,Chicago Transit Authority (CTA),Chicago,2.812123096087684,3.402031783859322,3.521101775820855,4.1674123015825355,3.6502938366399778,2.8777269853787115,2.792344583236603,2.900279264785565,3.719859846299207,3.6491992946531653,3.739884124001467,3.7242331435818232,3.828877781773637,3.9660461786400876,4.254111787839907,10.500749365342372,"Chicago, IL",Chicago,IL,41.8373,-87.6862
7,City and County of San Francisco (SFMTA),San Francisco,2.739539241878937,2.706367528144801,3.2635146850195165,3.343539262776617,2.9080709678864562,3.738185555292636,3.860908763701293,4.087891119192189,4.372911057761628,5.129742731123995,4.5126650963526505,5.304656191874274,5.897453040717328,6.225839562662339,6.589219936529848,15.195744340301879,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
8,City of Charlotte North Carolina (CATS),Charlotte,8.878447377468799,14.451236501874028,13.620250303093668,7.114196211973528,7.2036228924249155,6.288905616029087,5.501874589661582,5.875314569733756,7.62208527961002,9.084988117879105,14.621705664901649,17.292289481922055,16.676666452841793,12.087690407522567,10.165289381918175,21.748875918314955,"Charlotte, NC",Charlotte,NC,35.208,-80.8304
9,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,3.1218121783919948,4.197690131104908,4.886466397509183,4.9946009326398855,4.446420358742249,4.175245656840684,4.935878044515098,4.722922315854116,4.730676936591794,4.847480760857728,7.172000850820618,10.484542798663604,9.8848076703326,11.111057672956623,7.4025182276810195,13.85137645709012,"Hartford, CT",Hartford,CT,41.7661,-72.6834
10,County of Miami-Dade (MDT),Miami,4.44121730113303,5.294905013742734,5.762719879109007,6.005983221382124,6.806840407501133,6.394208928927732,5.22668321599373,5.066141399356386,5.242617426294138,5.2871276593736685,6.553205149784414,6.935702901256325,7.888877828695983,9.257308507991164,10.968648693361926,18.37820527540712,"Miami, FL",Miami,FL,25.7839,-80.2102
11,Dallas Area Rapid Transit (DART),Dallas,8.610207620725262,9.166000085514058,11.317751145106874,15.51404964542205,20.837298159767197,20.097620848496092,15.611970899734162,13.01026618175046,13.072010531655605,12.544657436692056,13.130976037559364,12.583479708257485,11.92500207261246,12.89086716420692,13.89089252843007,24.11264140293349,"Dallas, TX",Dallas,TX,32.7936,-96.7662
12,Denver Regional Transportation District (RTD),Denver,6.839031113131419,6.401078540599816,5.45030386641181,6.943136579169699,8.657608304446486,11.854946926480237,10.744726447545732,12.659244834350952,12.74812136548419,13.353325787232105,14.054017657829752,12.542151440926085,11.368498702821801,9.539485493438544,11.594072107575322,17.424580339780917,"Denver, CO",Denver,CO,39.7621,-104.8759
13,Fort Worth Transportation Authority (FWTA),Fort Worth,6.9981469582694835,8.308851375597198,9.105504224389174,9.132694210798105,8.985786316131842,9.713327514169448,11.004055331221162,9.545275049258851,10.238692470010523,9.948926386584827,16.95129287561974,18.86755839897875,44.856808026232684,62.64434594180691,55.142210893301076,39.097773021270854,"Fort Worth, TX",Fort Worth,TX,32.7811,-97.3473
14,"Golden Gate Bridge, Highway and Transportation District (GGBHTD)",San Francisco,9.390060228046792,8.774522805629013,10.914745243797201,11.05011047433139,13.342546540639617,15.674128594160136,15.20879042851564,15.397682652947525,13.373387184438192,17.529772590661313,21.85971888156737,22.24373352462565,20.20157148647421,22.68450890103377,34.72885502742132,102.68940532609169,"San Francisco, CA",San Francisco,CA,37.7562,-122.443
15,Greater Dayton Regional Transit Authority (GDRTA),Dayton,4.662066264799602,4.603986045366561,5.1105979089919265,5.459316520825591,7.185890316530678,7.955273834928835,5.635295487545763,6.4162581782110095,6.44567269453175,6.58173314522903,6.6573162924787335,9.583778867382776,10.756375023698563,10.60331102874387,12.3929221912545,19.529254608338267,"Dayton, OH",Dayton,OH,39.7797,-84.1998
16,Indianapolis and Marion County Public Transportation (IndyGo),Indianapolis,5.968439008318959,5.91002186064862,6.153954208684157,6.210289592077855,8.417480827085226,8.237899547497982,6.877555721895063,6.087826080844463,6.125033488670094,9.241690201364214,9.025601642826846,8.75117064274448,8.748304199609686,12.990559129139648,22.930707877156514,24.945820531696125,"Indianapolis, IN",Indianapolis,IN,39.7771,-86.1458
17,King County Department of Metro Transit (KCM),Seattle,5.155972638674424,5.02283961974958,5.032602585697622,5.3221747407494595,5.766816976333214,5.8936014755506045,7.411336133354981,6.817641770887757,6.18861940008189,6.24435904022882,6.586773287162104,7.761933187596906,7.640912705377306,9.324822609217428,8.913736960758708,17.439912176880693,"Seattle, WA",Seattle,WA,47.6211,-122.3244
18,Los Angeles County Metropolitan Transportation Authority (LACMTA),Los Angeles,3.6821421070342333,3.2830037339121745,3.5606044510033326,3.6825415682931726,4.063583772829119,4.330289999533077,4.634407417487954,4.558940308014136,4.752965278765505,6.277156205028094,7.797722709602269,8.02544581927568,8.248532775045176,9.187046682994435,9.876369025866307,19.57605076129579,"Los Angeles, CA",Los Angeles,CA,34.1139,-118.4068
19,MTA New York City Transit (NYCT),Brooklyn,2.2043336286338677,2.2207926911733518,2.744108871006622,3.1102074373055464,3.3855025064466058,3.1505167557135954,3.185030629191872,3.473161160944148,3.325297160840705,3.2909406341025433,3.2746623778475827,3.384919957599003,3.480394747097729,3.742149184501889,3.876423936461971,7.771850577250168,"Brooklyn, NY",Brooklyn,NY,40.6501,-73.9496
20,Maryland Transit Administration (MTA),Baltimore,5.533531940539942,6.11803644682373,5.197060714082113,5.96563675592983,6.468956155127016,6.986323897836289,7.363389312195053,8.775855002765276,8.58550995809297,8.890132428293994,9.894780221803376,9.669270285992946,11.26411622925835,11.288968498483891,11.80190993515616,28.41217640725553,"Baltimore, MD",Baltimore,MD,39.3051,-76.6144
21,Massachusetts Bay Transportation Authority (MBTA),Boston,4.279143315991144,4.379724737317554,4.8742448646005725,4.431119244441168,5.198358722088893,5.089967902044648,4.910892124674336,4.9790374184865245,5.2336116633220175,5.586867711336771,6.259274869512666,6.542097920362072,6.982743332077928,6.945637899192192,8.00326540188776,19.077747741306357,"Boston, MA",Boston,MA,42.3188,-71.0846
22,"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad (MTA-MNCR)",New York,16.33689704133443,15.36842137502024,15.11466209207133,16.65096088882938,16.328041202218124,15.071149341631557,14.19771600981621,15.204548160585281,17.176820268325397,17.543498957652385,17.003860916752984,18.181135638131728,19.878347553314146,19.513956006452833,20.729359545729054,62.703298449988615,"New York, NY",New York,NY,40.6943,-73.9249
